"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude"
"IGproject0046","Hylaeus","communis","female",1904,7,NA,"England","Dorset","Lyme Regis","",1.642,1.318,5.086,1.049,"Colletidae","cavity nester","OUMNH",1.091,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0047","Hylaeus","communis","female",1979,7,12,"England","Devon","Newton Abbot","Teign Valley",1.671,1.24,4.948,1.037,"Colletidae","cavity nester","OUMNH",1.101,"Teign Valley, Newton Abbot, Devon, England",50.61515132,-3.623629783
"IGproject0048","Hylaeus","communis","female",1948,7,26,"England","Oxfordshire","Coleshill","",1.581,1.191,4.648,0.987,"Colletidae","cavity nester","OUMNH",1.038,"Coleshill, Oxfordshire, England",51.6427615,-1.659708
"IGproject0049","Hylaeus","communis","male",1905,7,8,"England","Dorset","Lyme Regis","",1.504,1.152,4.342,0.939,"Colletidae","cavity nester","OUMNH",0.953,"Lyme Regis, Dorset, England",50.7252897,-2.934559
"IGproject0050","Hylaeus","communis","male",1978,6,16,"England","Devon","Diptford","",1.437,1.073,4.011,0.897,"Colletidae","cavity nester","OUMNH",0.968,"Diptford, Devon, England",50.3840452,-3.7629722
"IGproject0051","Hylaeus","communis","male",1980,6,24,"England","Devon","Milton Combe","",1.567,1.244,4.406,0.988,"Colletidae","cavity nester","OUMNH",1.02,"Milton Combe, Devon, England",50.4745875,-4.131055
"IGproject0052","Hylaeus","communis","female",1902,9,6,"England","Kent","Faversham","Huntingfield",1.499,1.138,4.476,0.941,"Colletidae","cavity nester","OUMNH",0.996,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012
"IGproject0053","Hylaeus","communis","male",1902,8,12,"England","Kent","Faversham","Huntingfield",1.592,1.144,4.608,0.986,"Colletidae","cavity nester","OUMNH",1.011,"Huntingfield, Faversham, Kent, England",51.25792226,0.822018012
"IGproject0054","Hylaeus","communis","female",1969,3,9,"England","Hertfordshire","Harpenden","Hatching Green",1.657,1.248,4.919,0.993,"Colletidae","cavity nester","OUMNH",1.085,"Hatching Green, Harpenden, Hertfordshire, England",51.8034314,-0.3580286
"IGproject0055","Hylaeus","communis","male",2005,7,19,"England","Surrey","Richmond","Ham House",1.49,1.154,4.241,0.92,"Colletidae","cavity nester","OUMNH",0.95,"Ham House, Richmond, Surrey, England",51.44419259,-0.313872304
"IGproject0056","Hylaeus","communis","male",1949,6,7,"England","Devon","Axminster","",1.538,1.126,4.444,0.963,"Colletidae","cavity nester","OUMNH",0.981,"Axminster, Devon, England",50.7820966,-2.9979915
"IGproject0057","Hylaeus","communis","female",1897,7,11,"England","Berkshire","Reading","Sulhamstead Park",1.737,1.309,5.222,1.008,"Colletidae","cavity nester","OUMNH",1.112,"Sulhamstead Park, Reading, Berkshire, England",51.41681285,-1.09530783
"IGproject0058","Nomada","goodeniana","female",1990,7,18,"England","Devon","Salcombe Regis","",3.032,2.048,9.062,2.414,"Apidae","kleptoparasite","OUMNH",1.997,"Salcombe Regis, Devon, England",50.6935703,-3.2066743
"IGproject0059","Nomada","goodeniana","female",1903,5,18,"Wales","Gwynedd","Criccieth","",3.222,2.284,9.782,2.835,"Apidae","kleptoparasite","OUMNH",2.103,"Criccieth, Gwynedd, Wales",52.9206106,-4.2332414
"IGproject0060","Nomada","goodeniana","male",1916,4,22,"England","Oxfordshire","Tubney","",2.843,1.916,8.883,2.403,"Apidae","kleptoparasite","OUMNH",1.905,"Tubney, Oxfordshire, England",51.6852443,-1.3699399
"IGproject0061","Nomada","goodeniana","male",1896,NA,NA,"England","Kent","Doddington","",3.029,1.985,9.415,2.566,"Apidae","kleptoparasite","OUMNH",2.055,"Doddington, Kent, England",51.2792113,0.7717749
"IGproject0062","Nomada","goodeniana","male",1917,5,3,"England","Devon","Brixham","",2.314,1.534,7.09,1.983,"Apidae","kleptoparasite","OUMNH",1.635,"Brixham, Devon, England",50.3952404,-3.514544
"IGproject0063","Nomada","goodeniana","female",1910,6,1,"England","Devon","Littleham","",3.257,2.219,10.096,2.832,"Apidae","kleptoparasite","OUMNH",2.183,"Littleham, Devon, England",50.9930461,-4.2236852
"IGproject0064","Nomada","goodeniana","female",1928,4,21,"England","Devon","Newton Abbot","",3.185,2.372,9.971,2.638,"Apidae","kleptoparasite","OUMNH",2.151,"Newton Abbot, Devon, England",50.5296441,-3.6112097
"IGproject0065","Nomada","goodeniana","female",1991,4,26,"England","Devon","Croyde","",3.347,2.367,10.436,2.807,"Apidae","kleptoparasite","OUMNH",2.208,"Croyde, Devon, England",51.1303398,-4.2215393
"IGproject0066","Nomada","goodeniana","male",1949,4,18,"England","Oxfordshire","Chastleton","",2.36,1.486,7.029,1.959,"Apidae","kleptoparasite","OUMNH",1.666,"Chastleton, Oxfordshire, England",51.9599665,-1.6409204
"IGproject0067","Nomada","goodeniana","female",1937,5,28,"England","Greater London","Wimbledon","",3.011,2.124,9.116,2.515,"Apidae","kleptoparasite","OUMNH",1.958,"Wimbledon, Greater London, England",51.4214787,-0.2064027
