"label_no","genus","species","sex","year","month","day","country","county","city_town_village","specific_location","HW_mm","intertegular_distance_mm","FW_length_mm","tibia_length_mm","family","ecology","Source","interocular_distance_mm","location_string","latitude","longitude","full_name","mean_preflight_temp","sd_preflight_temp","max_preflight_monthly_mean","max_preflight_temp"
"IGproject0041","Andrena","wilkella","female",1910,7,18,"England","Devon","Budleigh Salterton","",3.031,1.939,7.038,1.95,"Andrenidae","excavator","OUMNH",2.008,"Budleigh Salterton, Devon, England",50.6310504,-3.3299844,"Andrena wilkella",11.344251294808,1.70305364465282,13.0170883462255,16.3939046041743
"IGproject0042","Andrena","wilkella","male",1904,5,29,"England","Greater London","London","Wimbledon",2.937,1.879,7.288,2.05,"Andrenidae","excavator","OUMNH",1.969,"Wimbledon, London, Greater London, England",51.4214787,-0.2064027,"Andrena wilkella",10.9562333551371,3.42727360045386,13.5444386028069,18.1728459540007
"IGproject0043","Andrena","wilkella","female",1977,6,12,"England","Oxfordshire","Hook Norton","",3.529,2.268,8.264,2.656,"Andrenidae","excavator","OUMNH",2.251,"Hook Norton, Oxfordshire, England",51.9939848,-1.4822644,"Andrena wilkella",11.3260084741402,4.67355168250056,16.2025413045668,22.7944282257682
"IGproject0044","Andrena","wilkella","male",1915,4,20,"England","Gloucestershire","Wotton-under-Edge","",2.849,1.745,7.235,1.837,"Andrenidae","excavator","OUMNH",1.943,"Wotton-under-Edge, Gloucestershire, England",51.6378241,-2.3547251,"Andrena wilkella",11.8561706437816,2.62864888433412,14.7980816567123,20.1851836349757
"IGproject0045","Andrena","wilkella","female",1903,6,26,"England","Surrey","Chobham","",3.261,2.127,7.532,2.403,"Andrenidae","excavator","OUMNH",2.086,"Chobham, Surrey, England",51.3477705,-0.6010128,"Andrena wilkella",10.4152430622384,3.28703628620466,14.1406183501689,19.1075952634153
"IGproject0046","Hylaeus","communis","female",1904,7,NA,"England","Dorset","Lyme Regis","",1.642,1.318,5.086,1.049,"Colletidae","cavity nester","OUMNH",1.091,"Lyme Regis, Dorset, England",50.7252897,-2.934559,"Hylaeus communis",14.1679493073694,1.30463356026486,15.2395292155061,19.7112190954345
"IGproject0047","Hylaeus","communis","female",1979,7,12,"England","Devon","Newton Abbot","Teign Valley",1.671,1.24,4.948,1.037,"Colletidae","cavity nester","OUMNH",1.101,"Teign Valley, Newton Abbot, Devon, England",50.61515132,-3.623629783,"Hylaeus communis",14.2712177757232,0.671882830653249,14.7910396399169,19.0241111615309
"IGproject0048","Hylaeus","communis","female",1948,7,26,"England","Oxfordshire","Coleshill","",1.581,1.191,4.648,0.987,"Colletidae","cavity nester","OUMNH",1.038,"Coleshill, Oxfordshire, England",51.6427615,-1.659708,"Hylaeus communis",17.1966234883581,1.70085470750833,18.9144948168669,25.7601102064088
"IGproject0049","Hylaeus","communis","male",1905,7,8,"England","Dorset","Lyme Regis","",1.504,1.152,4.342,0.939,"Colletidae","cavity nester","OUMNH",0.953,"Lyme Regis, Dorset, England",50.7252897,-2.934559,"Hylaeus communis",15.0707330310714,1.72195556678507,16.6678192838039,21.0904125765718
"IGproject0050","Hylaeus","communis","male",1978,6,16,"England","Devon","Diptford","",1.437,1.073,4.011,0.897,"Colletidae","cavity nester","OUMNH",0.968,"Diptford, Devon, England",50.3840452,-3.7629722,"Hylaeus communis",14.6157297725392,1.94598171146369,16.0815266562894,20.23823782399
