label_no,genus,species,sex,year,month,day,country,county,city_town_village,specific_location,HW_mm,intertegular_distance_mm,FW_length_mm,tibia_length_mm,family,ecology,interocular_distance_mm
IGproject0091,Lasioglossum,fulvicorne,female,1991,6,9,England,Cambridgeshire,Barnack,Barnack Hills and Holes,1.815,1.355,5.386,1.43,Halictidae,excavator,1.143
IGproject0092,Lasioglossum,fulvicorne,male,1998,7,28,England,Gloucestershire,Wotton-under-Edge,Newark Park,1.79,1.396,5.295,1.221,Halictidae,excavator,1.056
IGproject0093,Lasioglossum,fulvicorne,female,1956,6,26,England,Dorset,Wimborne,,1.827,1.347,5.357,1.432,Halictidae,excavator,1.126
IGproject0094,Lasioglossum,fulvicorne,male,1902,8,4,England,Kent,Faversham,Huntingfield,1.731,1.291,5.377,1.195,Halictidae,excavator,1.066
IGproject0095,Lasioglossum,fulvicorne,male,1968,9,2,England,Bedfordshire,Hitchin,,1.85,1.315,5.44,1.265,Halictidae,excavator,1.141
IGproject0096,Lasioglossum,fulvicorne,female,1956,9,26,England,Dorset,Wimborne,,1.77,1.305,5.037,1.28,Halictidae,excavator,1.096
IGproject0097,Lasioglossum,fulvicorne,male,1998,7,28,England,Gloucestershire,Wotton-under-Edge,Newark Park,1.792,1.284,5.254,1.168,Halictidae,excavator,1.051
IGproject0098,Lasioglossum,fulvicorne,male,1914,8,,England,Gloucestershire,Wotton-under-Edge,,1.86,1.443,5.744,1.276,Halictidae,excavator,1.149
IGproject0099,Lasioglossum,fulvicorne,male,1899,8,20,England,Worcestershire,Malvern,,1.102,1.314,5.138,1.296,Halictidae,excavator,1.81
IGproject0100,Lasioglossum,fulvicorne,female,1977,9,13,England,Oxfordshire,Hook Norton,,1.759,1.269,5.155,1.296,Halictidae,excavator,1.088
IGproject0101,Lasioglossum,fulvicorne,male,1915,7,15,England,Devon,Brixham,,1.787,1.305,5.33,1.241,Halictidae,excavator,1.096
IGproject0102,Lasioglossum,fulvicorne,male,1968,9,7,England,Bedfordshire,Whipsnade,Bison Hill,1.727,1.222,5.031,1.178,Halictidae,excavator,1.037
IGproject0103,Lasioglossum,fulvicorne,male,1902,6,8,England,Kent,Faversham,Huntingfield,1.784,1.311,5.297,1.23,Halictidae,excavator,1.094
IGproject0104,Lasioglossum,fulvicorne,female,1917,5,3,England,Devon,Brixham,,1.925,1.469,5.977,1.472,Halictidae,excavator,1.189
IGproject0105,Lasioglossum,fulvicorne,male,1919,8,19,England,Worcestershire,Malvern,,1.681,1.228,5.194,1.193,Halictidae,excavator,1.057
IGproject0106,Lasioglossum,fulvicorne,male,1919,8,19,England,Worcestershire,Malvern,,1.815,1.296,5.372,1.133,Halictidae,excavator,1.107
IGproject0107,Lasioglossum,fulvicorne,female,2004,9,1,England,Surrey,Seale,,1.818,1.263,5.396,1.359,Halictidae,excavator,1.097
IGproject0108,Lasioglossum,fulvicorne,female,1974,5,7,England,Oxfordshire,Oxford,Wytham,1.854,1.34,5.52,1.384,Halictidae,excavator,1.134
IGproject0109,Lasioglossum,fulvicorne,female,1974,5,7,England,Oxfordshire,Oxford,Wytham,1.792,1.298,5.29,1.423,Halictidae,excavator,1.079
IGproject0110,Lasioglossum,fulvicorne,female,1949,4,17,England,Oxfordshire,Cumnor,,1.757,1.252,5.331,1.372,Halictidae,excavator,1.099
IGproject0111,Lasioglossum,fulvicorne,male,1988,8,6,England,Wiltshire,Wroughton,Clouts Wood,1.767,1.23,5.442,1.095,Halictidae,excavator,1.057
IGproject0112,Lasioglossum,fulvicorne,male,1903,7,22,England,Dorset,Lyme Regis,,1.665,1.179,4.918,1.264,Halictidae,excavator,0.996
IGproject0113,Lasioglossum,fulvicorne,female,1925,5,,England,Sussex,Brighton,Devil's Dyke,1.733,1.269,5.315,1.416,Halictidae,excavator,1.062
IGproject0114,Lasioglossum,fulvicorne,male,1905,7,10,England,Kent,Faversham,,1.846,1.357,5.683,1.277,Halictidae,excavator,1.114
